1,0,0,0,0,0
1,1,0,1,0,0
1,2,0,2,0,0
1,3,0,3,0,0
1,4,0,4,0,0
1,5,0,5,0,0
1,6,0,6,0,0
1,7,0,7,0,0
1,8,0,8,0,0
1,9,0,9,0,0
1,10,0,10,0,0
1,11,0,11,0,0
1,12,0,12,0,0
1,13,0,13,0,0
1,14,0,14,0,0
1,15,0,15,0,0
1,16,0,16,0,0
1,17,0,17,0,0
1,18,0,18,0,0
1,19,0,19,0,0
2,0,1,0,0,0
3,0,1,1,0,0
3,1,1,2,0,0
3,2,1,3,0,0
3,3,1,4,0,0
3,4,1,5,0,0
3,5,1,6,0,0
3,6,1,7,0,0
4,0,1,8,0,0
4,1,1,9,0,0
4,2,1,10,0,0
4,3,1,11,0,0
4,4,1,12,0,0
4,5,1,13,0,0
5,0,1,14,0,0
5,1,1,15,0,0
5,2,1,16,0,0
5,3,1,17,0,0
5,4,1,18,0,0
5,5,1,19,0,0
5,6,2,0,0,0
5,7,2,1,0,0
5,8,2,2,0,0
5,9,2,3,0,0
6,0,2,4,0,0
6,1,2,5,0,0
6,2,2,6,0,0
6,3,2,7,0,0
6,4,2,8,0,0
6,5,2,9,0,0
6,6,2,10,0,0
6,7,2,11,0,0
6,8,2,12,0,0
6,9,2,13,0,0
6,10,2,14,0,0
6,11,2,15,0,0
7,0,2,16,0,0
7,1,2,17,0,0
7,2,2,18,0,0
7,3,2,19,0,0
7,4,3,0,0,0
7,5,3,1,0,0
7,6,3,2,0,0
7,7,3,3,0,0
7,8,3,4,0,0
7,9,3,5,0,0
7,10,3,6,0,0
8,0,3,7,0,0
8,1,3,8,0,0
8,2,3,9,0,0
8,3,3,10,0,0
8,4,3,11,0,0
8,5,3,12,0,0
8,6,3,13,0,0
9,0,3,14,0,0
9,1,3,15,0,0
9,2,3,16,0,0
9,3,3,17,0,0
9,4,3,18,0,0
9,5,3,19,0,0
9,6,4,0,0,0
9,7,4,1,0,0
10,0,4,2,0,0
10,1,4,3,0,0
10,2,4,4,0,0
10,3,4,5,0,0
10,4,4,6,0,0
10,5,4,7,0,0
10,6,4,8,0,0
11,0,4,9,0,0
11,1,4,10,0,0
11,2,4,11,0,0
11,3,4,12,0,0
11,4,4,13,0,0
11,5,4,14,0,0
11,6,4,15,0,0
11,7,4,16,0,0
12,0,4,17,0,0
12,1,4,18,0,0
12,2,4,19,0,0
12,3,5,0,0,0
12,4,5,1,0,0
12,5,5,2,0,0
13,0,5,3,0,0
13,1,5,4,0,0
13,2,5,5,0,0
13,3,5,6,0,0
13,4,5,7,0,0
13,5,5,8,0,0
13,6,5,9,0,0
13,7,5,10,0,0
13,8,5,11,0,0
13,9,5,12,0,0
14,0,5,13,0,0
14,1,5,14,0,0
14,2,5,15,0,0
14,3,5,16,0,0
14,4,5,17,0,0
14,5,5,18,0,0
14,6,5,19,0,0
14,7,6,0,0,0
14,8,6,1,0,0
14,9,6,2,0,0
15,0,6,3,0,0
15,1,6,4,0,0
15,2,6,5,0,0
15,3,6,6,0,0
15,4,6,7,0,0
16,0,6,8,0,0
16,1,6,9,0,0
16,2,6,10,0,0
16,3,6,11,0,0
16,4,6,12,0,0
17,0,6,13,0,0
17,1,6,14,0,0
17,2,6,15,0,0
17,3,6,16,0,0
18,0,6,17,0,0
18,1,6,18,0,0
18,2,6,19,0,0
18,3,7,0,0,0
19,0,7,1,0,0
19,1,7,2,0,0
19,2,7,3,0,0
19,3,7,4,0,0
19,4,7,5,0,0
19,5,7,6,0,0
19,6,7,7,0,0
19,7,7,8,0,0
19,8,7,9,0,0
19,9,7,10,0,0
20,0,7,11,0,0
20,1,7,12,0,0
20,2,7,13,0,0
20,3,7,14,0,0
20,4,7,15,0,0
20,5,7,16,0,0
20,6,7,17,0,0
21,0,7,18,0,0
21,1,7,19,0,0
21,2,8,0,0,0
21,3,8,1,0,0
21,4,8,2,0,0
21,5,8,3,0,0
21,6,8,4,0,0
22,0,8,5,0,0
22,1,8,6,0,0
22,2,8,7,0,0
22,3,8,8,0,0
22,4,8,9,0,0
22,5,8,10,0,0
22,6,8,11,0,0
23,0,8,12,0,0
23,1,8,13,0,0
23,2,8,14,0,0
23,3,8,15,0,0
24,0,8,16,0,0
24,1,8,17,0,0
24,2,8,18,0,0
24,3,8,19,0,0
25,0,9,0,0,0
25,1,9,1,0,0
25,2,9,2,0,0
25,3,9,3,0,0
25,4,9,4,0,0
25,5,9,5,0,0
26,0,9,6,0,0
26,1,9,7,0,0
26,2,9,8,0,0
26,3,9,9,0,0
27,0,9,10,0,0
27,1,9,11,0,0
27,2,9,12,0,0
27,3,9,13,0,0
27,4,9,14,0,0
27,5,9,15,0,0
27,6,9,16,0,0
27,7,9,17,0,0
28,0,9,18,0,0
28,1,9,19,0,0
28,2,10,0,0,0
28,3,10,1,0,0
28,4,10,2,0,0
28,5,10,3,0,0
28,6,10,4,0,0
28,7,10,5,0,0
29,0,10,6,0,0
29,1,10,7,0,0
29,2,10,8,0,0
29,3,10,9,0,0
29,4,10,10,0,0
29,5,10,11,0,0
29,6,10,12,0,0
29,7,10,13,0,0
30,0,10,14,0,0
30,1,10,15,0,0
30,2,10,16,0,0
30,3,10,17,0,0
30,4,10,18,0,0
30,5,10,19,0,0
31,0,11,0,0,0
31,1,11,1,0,0
31,2,11,2,0,0
31,3,11,3,0,0
32,0,11,4,0,0
32,1,11,5,0,0
32,2,11,6,0,0
32,3,11,7,0,0
33,0,11,8,0,0
33,1,11,9,0,0
33,2,11,10,0,0
33,3,11,11,0,0
33,4,11,12,0,0
34,0,11,13,0,0
34,1,11,14,0,0
34,2,11,15,0,0
34,3,11,16,0,0
35,0,11,17,0,0
35,1,11,18,0,0
35,2,11,19,0,0
35,3,12,0,0,0
36,0,12,1,0,0
36,1,12,2,0,0
36,2,12,3,0,0
36,3,12,4,0,0
37,0,12,5,0,0
37,1,12,6,0,0
37,2,12,7,0,0
37,3,12,8,0,0
37,4,12,9,0,0
38,0,12,10,0,0
38,1,12,11,0,0
38,2,12,12,0,0
38,3,12,13,0,0
